* FEAR Boundary condition specification file
* * BC id = Boundary condition id input into Patran and appearing in the .ntl file
* * BC Type = BC type input into Patran
* * Flag1 = 0 for constant, read next line for constant value, 1 for function of time read the time dependant values into a vector
* * Flag2 = 0 unless this BC is a trajectory, 1 = POST style trajectory, 2 = CMA/FIAT style trajectory, 3 = time vs generic BC value  
* * FLAG3 = real number for constant spatial multipler, -1 for node based spatial field, -2 coordinate based spatial field, follows trajectory
* * Flag4 = 0 for scalar, 1 for vector --> only supported for BC's not a f(t), future upgrade will make vector BC types f(t)
* BC id   BCType   Flag1   Flag2  Flag3   Flag4
* BC #1 
* 200   2   0   0    1.0   0
* 750000   
* BC #2  3E trajectory scale factor reset to 1.0, spatial factor here is for margin cases
400   4   1   2  0.427673    0
80.94   991532.42   4.9095  2.66615E-02 1.91780E-01 0.4
81.94   1041290.40  5.2536  2.71668E-02 1.97225E-01 0.4
82.94   1092460.89  5.6157  2.76792E-02 2.02834E-01 0.4
83.94   1052557.07  6.0200  3.07969E-02 2.12222E-01 0.4
84.94   1098421.77  6.4209  3.14763E-02 2.18295E-01 0.4
85.94   1145394.64  6.8414  3.21620E-02 2.24482E-01 0.4
86.94   1193481.10  7.2819  3.28536E-02 2.30783E-01 0.4
87.94   1242686.66  7.7430  3.35507E-02 2.37199E-01 0.4
88.94   1293017.06  8.2253  3.42532E-02 2.43731E-01 0.4
89.94   1344478.53  8.7293  3.49605E-02 2.50379E-01 0.4
90.94   1397077.80  9.2555  3.56724E-02 2.57143E-01 0.4
91.94   1450822.40  9.8044  3.63882E-02 2.66406E-01 0.4
92.94   1505720.29  10.3765 3.71075E-02 2.75870E-01 0.4
93.03   1510679.11  10.4288 3.71719E-02 2.76725E-01 0.4
94.03   1508280.55  10.3977 3.71203E-02 2.76101E-01 0.4
95.03   1508704.76  10.4039 3.71319E-02 2.76352E-01 0.4
96.03   1509187.38  10.4114 3.71466E-02 2.76645E-01 0.4
97.03   1509673.25  10.4176 3.71570E-02 2.76869E-01 0.4
98.03   1510148.26  10.4223 3.71619E-02 2.77008E-01 0.4
99.03   1510600.45  10.4254 3.71621E-02 2.77071E-01 0.4
100.03  1511020.29  10.4275 3.71589E-02 2.77079E-01 0.4
101.03  1511400.92  10.4286 3.71537E-02 2.77052E-01 0.4
102.03  1511737.75  10.4293 3.71477E-02 2.77006E-01 0.4
103.03  1512027.88  10.4296 3.71416E-02 2.76953E-01 0.4
104.03  1512269.62  10.4297 3.71360E-02 2.76901E-01 0.4
105.03  1512462.16  10.4296 3.71312E-02 2.76855E-01 0.4
106.03  1512605.33  10.4296 3.71275E-02 2.76818E-01 0.4
107.03  1512699.43  10.4295 3.71248E-02 2.76790E-01 0.4
108.03  1512745.08  10.4293 3.71232E-02 2.76773E-01 0.4
109.03  1512743.24  10.4292 3.71228E-02 2.76767E-01 0.4
110.03  1512695.12  10.4291 3.71236E-02 2.76772E-01 0.4
111.03  1512602.14  10.4290 3.71255E-02 2.76786E-01 0.4
112.03  1512466.00  10.4289 3.71284E-02 2.76812E-01 0.4
113.03  1512288.51  10.4288 3.71324E-02 2.76847E-01 0.4
114.03  1512071.72  10.4286 3.71373E-02 2.76891E-01 0.4
115.03  1511817.84  10.4285 3.71431E-02 2.76944E-01 0.4
116.03  1511529.14  10.4284 3.71498E-02 2.77006E-01 0.4
117.03  1511208.21  10.4283 3.71573E-02 2.77076E-01 0.4
118.03  1510857.36  10.4282 3.71655E-02 2.77153E-01 0.4
119.03  1510479.51  10.4281 3.71744E-02 2.77239E-01 0.4
120.03  1510077.32  10.4280 3.71840E-02 2.77330E-01 0.4
121.03  1509653.31  10.4279 3.71939E-02 2.77428E-01 0.4
122.03  1509210.33  10.4277 3.72045E-02 2.77531E-01 0.4
123.03  1508751.12  10.4276 3.72154E-02 2.77640E-01 0.4
124.03  1508278.37  10.4275 3.72267E-02 2.77754E-01 0.4
125.03  1507794.77  10.4274 3.72382E-02 2.77871E-01 0.4
126.03  1507302.91  10.4273 3.72500E-02 2.77993E-01 0.4
127.03  1506805.31  10.4272 3.72619E-02 2.78117E-01 0.4
128.03  1506304.43  10.4271 3.72739E-02 2.78244E-01 0.4
129.03  1505802.59  10.4270 3.72859E-02 2.78372E-01 0.4
130.03  1505302.00  10.4269 3.72979E-02 2.78502E-01 0.4
131.03  1504804.78  10.4267 3.73098E-02 2.78633E-01 0.4
132.03  1504312.86  10.4266 3.73216E-02 2.78764E-01 0.4
133.03  1503828.09  10.4265 3.73332E-02 2.78895E-01 0.4
134.03  1503352.12  10.4264 3.73447E-02 2.79025E-01 0.4
-134.86 1502964.76  10.4263 3.73540E-02 2.79133E-01 0.4
* BC #3
800   8   0   0    1.0    1
0.0  0.0  0.0
* BC # 4
801   8   0   0    1.0    1
-99.0  0.0  0.0
* BC #5
1000   10   1   3  1.0    0
  0.00        2.35963E-01
  1.00        2.32383E-01
  2.00        2.29212E-01
  3.00        2.26435E-01
  4.00        2.24040E-01
  5.00        2.22016E-01
  6.00        2.20259E-01
  7.00        2.18661E-01
  8.00        2.17191E-01
  8.94        2.15888E-01
  9.94        2.14532E-01
 10.94        2.13134E-01
 11.94        2.11580E-01
 12.94        2.20147E-01
 13.94        2.36384E-01
 14.94        2.50809E-01
 15.94        2.63628E-01
 16.94        2.74878E-01
 17.94        2.84485E-01
 18.94        2.92415E-01
 19.94        2.98803E-01
 20.94        3.04060E-01
 21.94        3.08336E-01
 22.94        3.11730E-01
 23.94        3.14336E-01
 24.94        3.16246E-01
 25.94        3.17546E-01
 26.94        3.18309E-01
 27.94        3.18656E-01
 28.94        3.18847E-01
 29.94        3.18960E-01
 30.94        9.68376E-02
 31.94        9.24604E-02
 32.94        8.82373E-02
 33.94        8.41858E-02
 34.94        8.03182E-02
 35.94        7.66416E-02
 36.94        7.31570E-02
 37.94        6.98442E-02
 38.94        6.66940E-02
 39.94        6.36986E-02
 40.94        6.08495E-02
 41.94        5.81303E-02
 42.94        5.55349E-02
 43.94        5.30561E-02
 44.94        5.06873E-02
 45.94        4.84275E-02
 46.94        4.62750E-02
 47.94        4.42263E-02
 48.94        4.22188E-02
 49.94        4.03203E-02
 50.94        3.85262E-02
 51.94        3.68320E-02
 52.94        3.52331E-02
 53.94        3.37251E-02
 54.94        3.23037E-02
 55.94        3.09647E-02
 56.94        2.97042E-02
 57.94        2.85181E-02
 58.94        2.74029E-02
 59.94        2.63562E-02
 60.94        2.53739E-02
 61.94        2.44519E-02
 62.94        2.35886E-02
 63.94        2.27830E-02
 64.94        2.20337E-02
 65.94        2.13391E-02
 66.94        2.06959E-02
 67.94        2.01039E-02
 68.94        1.95636E-02
 69.94        1.90780E-02
 70.94        1.86556E-02
 71.94        1.82872E-02
 72.94        1.79628E-02
 73.94        1.76771E-02
 74.94        1.74260E-02
 75.94        1.72057E-02
 76.94        1.70131E-02
 77.94        1.68447E-02
 78.94        1.66976E-02
 79.94        1.65660E-02
 80.94        1.64441E-02
 81.94        1.63278E-02
 82.94        1.62134E-02
 83.94        1.63803E-02
 84.94        1.62716E-02
 85.94        1.61626E-02
 86.94        1.60544E-02
 87.94        1.59487E-02
 88.94        1.58469E-02
 89.94        1.57505E-02
 90.94        1.56612E-02
 91.94        1.57213E-02
 92.94        1.57884E-02
 93.03        1.58383E-02
 94.03        1.58128E-02
 95.03        1.58367E-02
 96.03        1.58623E-02
 97.03        1.58834E-02
 98.03        1.58987E-02
 99.03        1.59091E-02
100.03        1.59155E-02
101.03        1.59193E-02
102.03        1.59213E-02
103.03        1.59222E-02
104.03        1.59224E-02
105.03        1.59223E-02
106.03        1.59221E-02
107.03        1.59217E-02
108.03        1.59213E-02
109.03        1.59209E-02
110.03        1.59205E-02
111.03        1.59200E-02
112.03        1.59196E-02
113.03        1.59192E-02
114.03        1.59188E-02
115.03        1.59185E-02
116.03        1.59181E-02
117.03        1.59177E-02
118.03        1.59173E-02
119.03        1.59169E-02
120.03        1.59165E-02
121.03        1.59161E-02
122.03        1.59157E-02
123.03        1.59153E-02
124.03        1.59149E-02
125.03        1.59145E-02
126.03        1.59142E-02
127.03        1.59138E-02
128.03        1.59134E-02
129.03        1.59130E-02
130.03        1.59126E-02
131.03        1.59122E-02
132.03        1.59118E-02
133.03        1.59114E-02
134.03        1.59110E-02
-134.86        1.59107E-02
* BC #6
1100   11   0   0    1.0    1
0.0  0.0  0.0
* BC #6.5
1101   11   0   0    1.0    1
-99.0  0.0  0.0
* BC #7
900   9   0   0    1.0    1
0.0  0.0  0.0
* BC #8
600   6   0   0    1.0   0
220.0 
#
